Date,High,Low,Open,Close,Volume,Adj Close
2019-01-01,141.3975067138672,132.6507110595703,133.41815185546875,140.8194122314453,2258709868.0,140.8194122314453
2019-01-02,156.92913818359375,140.6509552001953,141.51951599121094,155.0476837158203,3328240369.0,155.0476837158203
2019-01-03,155.86305236816406,147.1983642578125,155.196044921875,149.135009765625,2676164880.0,149.135009765625
2019-01-04,156.8789825439453,147.9071044921875,148.9128875732422,154.58193969726562,3126192535.0,154.58193969726562
2019-01-05,160.82489013671875,154.33741760253906,154.33741760253906,155.6385955810547,3338211928.0,155.6385955810547
2019-01-06,159.37144470214844,152.08592224121094,155.80422973632812,157.74620056152344,3231294371.0,157.74620056152344
2019-01-07,158.45042419433594,151.15072631835938,157.8094940185547,151.69921875,2712108388.0,151.69921875
2019-01-08,153.6257781982422,148.66954040527344,151.96754455566406,150.35963439941406,2459808140.0,150.35963439941406
2019-01-09,153.62225341796875,150.2883758544922,150.5546875,150.80311584472656,2369241197.0,150.80311584472656
2019-01-10,152.1482696533203,126.52937316894531,150.843505859375,128.62518310546875,3397734456.0,128.62518310546875
2019-01-11,130.1659393310547,125.24494171142578,127.81396484375,127.54832458496094,2667585234.0,127.54832458496094
2019-01-12,128.66612243652344,125.4467544555664,127.52808380126953,125.9665298461914,2212109224.0,125.9665298461914
2019-01-13,126.26787567138672,116.08596801757812,125.9072265625,116.8978042602539,2268263944.0,116.8978042602539
2019-01-14,130.8567352294922,116.96755981445312,116.97909545898438,129.0687255859375,2798085735.0,129.0687255859375
2019-01-15,130.74356079101562,120.3115234375,129.1726837158203,122.03271484375,2735449164.0,122.03271484375
2019-01-16,127.11824798583984,121.44141387939453,121.80924224853516,123.54706573486328,2746469340.0,123.54706573486328
2019-01-17,124.27072143554688,120.81703186035156,123.57353973388672,123.7419204711914,2594091285.0,123.7419204711914
2019-01-18,123.84169006347656,120.24189758300781,123.65465545654297,121.01026153564453,2305389800.0,121.01026153564453
2019-01-19,125.90422821044922,121.1610336303711,121.61442565917969,124.5190200805664,3048261797.0,124.5190200805664
