Symbol,DATE,SP500
SP500,2020-02-11,3357.75
SP500,2020-02-12,3379.45
SP500,2020-02-13,3373.94
SP500,2020-02-14,3380.16
SP500,2020-02-17,
SP500,2020-02-18,3370.29
SP500,2020-02-19,3386.15
SP500,2020-02-20,3373.23
SP500,2020-02-21,3337.75
SP500,2020-02-24,3225.89
SP500,2020-02-25,3128.21
SP500,2020-02-26,3116.39
SP500,2020-02-27,2978.76
SP500,2020-02-28,2954.22
SP500,2020-03-02,3090.23
SP500,2020-03-03,3003.37
SP500,2020-03-04,3130.12
SP500,2020-03-05,3023.94
SP500,2020-03-06,2972.37
SP500,2020-03-09,2746.56
SP500,2020-03-10,2882.23
SP500,2020-03-11,2741.38
SP500,2020-03-12,2480.64
SP500,2020-03-13,2711.02
SP500,2020-03-16,2386.13
SP500,2020-03-17,2529.19
SP500,2020-03-18,2398.1
SP500,2020-03-19,2409.39
SP500,2020-03-20,2304.92
SP500,2020-03-23,2237.4
SP500,2020-03-24,2447.33
SP500,2020-03-25,2475.56
SP500,2020-03-26,2630.07
SP500,2020-03-27,2541.47
SP500,2020-03-30,2626.65
SP500,2020-03-31,2584.59
SP500,2020-04-01,2470.5
SP500,2020-04-02,2526.9
SP500,2020-04-03,2488.65
SP500,2020-04-06,2663.68
SP500,2020-04-07,2659.41
SP500,2020-04-08,2749.98
SP500,2020-04-09,2789.82
SP500,2020-04-10,
SP500,2020-04-13,2761.63
SP500,2020-04-14,2846.06
SP500,2020-04-15,2783.36
SP500,2020-04-16,2799.55
SP500,2020-04-17,2874.56
SP500,2020-04-20,2823.16
SP500,2020-04-21,2736.56
SP500,2020-04-22,2799.31
SP500,2020-04-23,2797.8
SP500,2020-04-24,2836.74
SP500,2020-04-27,2878.48
SP500,2020-04-28,2863.39
SP500,2020-04-29,2939.51
SP500,2020-04-30,2912.43
SP500,2020-05-01,2830.71
SP500,2020-05-04,2842.74
SP500,2020-05-05,2868.44
SP500,2020-05-06,2848.42
SP500,2020-05-07,2881.19
SP500,2020-05-08,2929.8
SP500,2020-05-11,2930.32
SP500,2020-05-12,2870.12
SP500,2020-05-13,2820.0
SP500,2020-05-14,2852.5
SP500,2020-05-15,2863.7
SP500,2020-05-18,2953.91
SP500,2020-05-19,2922.94
SP500,2020-05-20,2971.61
SP500,2020-05-21,2948.51
SP500,2020-05-22,2955.45
SP500,2020-05-25,
SP500,2020-05-26,2991.77
SP500,2020-05-27,3036.13
SP500,2020-05-28,3029.73
SP500,2020-05-29,3044.31
SP500,2020-06-01,3055.73
SP500,2020-06-02,3080.82
SP500,2020-06-03,3122.87
SP500,2020-06-04,3112.35
SP500,2020-06-05,3193.93
SP500,2020-06-08,3232.39
SP500,2020-06-09,3207.18
SP500,2020-06-10,3190.14
SP500,2020-06-11,3002.1
SP500,2020-06-12,3041.31
SP500,2020-06-15,3066.59
SP500,2020-06-16,3124.74
SP500,2020-06-17,3113.49
SP500,2020-06-18,3115.34
SP500,2020-06-19,3097.74
SP500,2020-06-22,3117.86
SP500,2020-06-23,3131.29
SP500,2020-06-24,3050.33
SP500,2020-06-25,3083.76
SP500,2020-06-26,3009.05
SP500,2020-06-29,3053.24
SP500,2020-06-30,3100.29
SP500,2020-07-01,3115.86
SP500,2020-07-02,3130.01
SP500,2020-07-03,
SP500,2020-07-06,3179.72
SP500,2020-07-07,3145.32
SP500,2020-07-08,3169.94
SP500,2020-07-09,3152.05
SP500,2020-07-10,3185.04
SP500,2020-07-13,3155.22
SP500,2020-07-14,3197.52
SP500,2020-07-15,3226.56
SP500,2020-07-16,3215.57
SP500,2020-07-17,3224.73
SP500,2020-07-20,3251.84
SP500,2020-07-21,3257.3
SP500,2020-07-22,3276.02
SP500,2020-07-23,3235.66
SP500,2020-07-24,3215.63
SP500,2020-07-27,3239.41
SP500,2020-07-28,3218.44
SP500,2020-07-29,3258.44
SP500,2020-07-30,3246.22
SP500,2020-07-31,3271.12
SP500,2020-08-03,3294.61
SP500,2020-08-04,3306.51
SP500,2020-08-05,3327.77
SP500,2020-08-06,3349.16
SP500,2020-08-07,3351.28
SP500,2020-08-10,3360.47
SP500,2020-08-11,3333.69
SP500,2020-08-12,3380.35
SP500,2020-08-13,3373.43
SP500,2020-08-14,3372.85
SP500,2020-08-17,3381.99
SP500,2020-08-18,3389.78
SP500,2020-08-19,3374.85
SP500,2020-08-20,3385.51
SP500,2020-08-21,3397.16
SP500,2020-08-24,3431.28
SP500,2020-08-25,3443.62
SP500,2020-08-26,3478.73
SP500,2020-08-27,3484.55
SP500,2020-08-28,3508.01
SP500,2020-08-31,3500.31
SP500,2020-09-01,3526.65
SP500,2020-09-02,3580.84
SP500,2020-09-03,3455.06
SP500,2020-09-04,3426.96
SP500,2020-09-07,
SP500,2020-09-08,3331.84
SP500,2020-09-09,3398.96
SP500,2020-09-10,3339.19
SP500,2020-09-11,3340.97
SP500,2020-09-14,3383.54
SP500,2020-09-15,3401.2
SP500,2020-09-16,3385.49
SP500,2020-09-17,3357.01
SP500,2020-09-18,3319.47
SP500,2020-09-21,3281.06
SP500,2020-09-22,3315.57
SP500,2020-09-23,3236.92
SP500,2020-09-24,3246.59
SP500,2020-09-25,3298.46
SP500,2020-09-28,3351.6
SP500,2020-09-29,3335.47
SP500,2020-09-30,3363.0
SP500,2020-10-01,3380.8
SP500,2020-10-02,3348.44
SP500,2020-10-05,3408.63
SP500,2020-10-06,3360.95
SP500,2020-10-07,3419.45
SP500,2020-10-08,3446.83
SP500,2020-10-09,3477.13
SP500,2020-10-12,3534.22
SP500,2020-10-13,3511.93
SP500,2020-10-14,3488.67
SP500,2020-10-15,3483.34
SP500,2020-10-16,3483.81
SP500,2020-10-19,3426.92
SP500,2020-10-20,3443.12
SP500,2020-10-21,3435.56
SP500,2020-10-22,3453.49
SP500,2020-10-23,3465.39
SP500,2020-10-26,3400.97
SP500,2020-10-27,3390.68
SP500,2020-10-28,3271.03
SP500,2020-10-29,3310.11
SP500,2020-10-30,3269.96
SP500,2020-11-02,3310.24
SP500,2020-11-03,3369.16
SP500,2020-11-04,3443.44
SP500,2020-11-05,3510.45
SP500,2020-11-06,3509.44
SP500,2020-11-09,3550.5
SP500,2020-11-10,3545.53
SP500,2020-11-11,3572.66
SP500,2020-11-12,3537.01
